AirportID_AirportName,Total_Incidents,Collision_Count,Collision_Rate
San Francisco Intl,40,22.0,55.00000000000001
Benito Juárez Intl,11,6.0,54.54545454545454
LaGuardia,43,23.0,53.48837209302325
FORT MACKAY/ALBIAN,12,6.0,50.0
Denver Intl,25,11.0,44.0
Phoenix Sky Harbor Intl,16,7.0,43.75
Palm Springs Intl,14,6.0,42.857142857142854
Fort Lauderdale/Hollywood Intl,49,21.0,42.857142857142854
TRAIL,11,4.0,36.36363636363637
ST. THERESA POINT,16,5.0,31.25
Los Angeles Intl,56,17.0,30.357142857142854
MACKENZIE,11,3.0,27.27272727272727
GATWICK,16,4.0,25.0
Juan Gualberto Gómez Intl,17,4.0,23.52941176470588
Nashville Intl,13,3.0,23.076923076923077
Newark Liberty Intl,44,10.0,22.727272727272727
O'Hare Intl,34,7.0,20.588235294117645
Philadelphia Intl,10,2.0,20.0
Dublin Intl,15,3.0,20.0
Chek Lap Kok Intl,10,2.0,20.0
ISLAND LAKE,16,3.0,18.75
Pittsburgh Intl,16,3.0,18.75
Harry Reid Intl,38,7.0,18.421052631578945
Lynden Pindling Intl,11,2.0,18.181818181818183
Washington Dulles Intl,18,3.0,16.666666666666664
BONAVENTURE,12,2.0,16.666666666666664
Miami Intl,14,2.0,14.285714285714285
MANNING,14,2.0,14.285714285714285
DOWNSVIEW,14,2.0,14.285714285714285
BAIE-COMEAU,49,7.0,14.285714285714285
Victoria Harbour,14,2.0,14.285714285714285
Orlando Intl,28,4.0,14.285714285714285
George Bush Intercontinental,14,2.0,14.285714285714285
TRENTON,30,4.0,13.333333333333334
NANAIMO,53,7.0,13.20754716981132
General Edward Lawrence Logan Intl,31,4.0,12.903225806451612
Billy Bishop Toronto City,121,15.0,12.396694214876034
CAMBRIDGE BAY,18,2.0,11.11111111111111
Capital International,10,1.0,10.0
Revelstoke,11,1.0,9.090909090909092
MAGNY,11,1.0,9.090909090909092
JOSEPHBURG,11,1.0,9.090909090909092
Punta Cana Intl,22,2.0,9.090909090909092
BLUE RIVER,11,1.0,9.090909090909092
KITCHENER/WATERLOO,57,5.0,8.771929824561402
STONY RAPIDS,23,2.0,8.695652173913043
FORT MCMURRAY,134,11.0,8.208955223880597
SAULT STE. MARIE,88,7.0,7.954545454545454
THE PAS,13,1.0,7.6923076923076925
WINNIPEG/ST. ANDREWS,39,3.0,7.6923076923076925
BUFFALO NARROWS,13,1.0,7.6923076923076925
HIGH LEVEL,26,2.0,7.6923076923076925
HEATHROW,56,4.0,7.142857142857142
PRINCETON,14,1.0,7.142857142857142
RONALD REAGAN WASHINGTON NATIONAL,14,1.0,7.142857142857142
KANGIRSUK,14,1.0,7.142857142857142
John G. Diefenbaker Intl,225,16.0,7.111111111111111
ÎLES-DE-LA-MADELEINE,15,1.0,6.666666666666667
FORT SMITH,31,2.0,6.451612903225806
Industrial Park,16,1.0,6.25
Seattle-Tacoma Intl,16,1.0,6.25
Lester B. Pearson Intl,3135,186.0,5.9330143540669855
Cancún Intl,17,1.0,5.88235294117647
CHARLOTTETOWN,34,2.0,5.88235294117647
SEPT-ÎLES,105,6.0,5.714285714285714
FORT ST. JOHN,53,3.0,5.660377358490567
West Kootenay Regional,18,1.0,5.555555555555555
Fredericton Intl,72,4.0,5.555555555555555
MEDICINE HAT,37,2.0,5.405405405405405
SIOUX LOOKOUT,95,5.0,5.263157894736842
ABBOTSFORD,115,6.0,5.217391304347826
KELOWNA,192,10.0,5.208333333333334
St-Honore,40,2.0,5.0
Charles de Gaulle,21,1.0,4.761904761904762
Red Lake,43,2.0,4.651162790697675
WABUSH,43,2.0,4.651162790697675
Victoria Intl,175,8.0,4.571428571428571
Regina Intl,134,6.0,4.477611940298507
KUUJJUAQ,68,3.0,4.411764705882353
Vancouver Harbour,23,1.0,4.3478260869565215
DEER LAKE,47,2.0,4.25531914893617
(Glass Field),49,2.0,4.081632653061225
PETERBOROUGH,50,2.0,4.0
Rhein-Main,25,1.0,4.0
DAWSON CITY,25,1.0,4.0
Pierre Elliott Trudeau Intl,1554,62.0,3.9897039897039894
LONDON,133,5.0,3.7593984962406015
Slave Lake,27,1.0,3.7037037037037033
Brampton-Caledon,54,2.0,3.7037037037037033
SUDBURY,81,3.0,3.7037037037037033
FORT NELSON,28,1.0,3.571428571428571
VERNON,28,1.0,3.571428571428571
RANKIN INLET,59,2.0,3.389830508474576
GOOSE BAY,118,4.0,3.389830508474576
Edmonton/Cooking Lake,30,1.0,3.3333333333333335
St-Hubert,151,5.0,3.3112582781456954
VAL-D'OR,95,3.0,3.1578947368421053
Jean Lesage Intl,402,12.0,2.9850746268656714
PENTICTON,34,1.0,2.941176470588235
BRANTFORD,34,1.0,2.941176470588235
Canadian Rockies Intl,34,1.0,2.941176470588235
COMOX,34,1.0,2.941176470588235
DRYDEN REGIONAL,35,1.0,2.857142857142857
Greater Moncton Romeo Lebalnc Intl,106,3.0,2.8301886792452833
KAMLOOPS,71,2.0,2.8169014084507045
ST. JOHN'S INTL,251,7.0,2.788844621513944
PITT MEADOWS,72,2.0,2.7777777777777777
Stanfield Intl,363,10.0,2.7548209366391188
IQALUIT,148,4.0,2.7027027027027026
OTTAWA/GATINEAU,40,1.0,2.5
THUNDER BAY,201,5.0,2.4875621890547266
Calgary Intl,1286,30.0,2.332814930015552
MacDonald-Cartier Intl,650,15.0,2.307692307692308
Vancouver Intl,1554,35.0,2.2522522522522523
GANDER INTL,134,3.0,2.2388059701492535
LETHBRIDGE,50,1.0,2.0
ROUYN-NORANDA,53,1.0,1.8867924528301887
CHURCHILL,55,1.0,1.8181818181818181
THOMPSON,110,2.0,1.8181818181818181
TERRACE,56,1.0,1.7857142857142856
GRANDE PRAIRIE,57,1.0,1.7543859649122806
North Bay,58,1.0,1.7241379310344827
PRINCE GEORGE,121,2.0,1.6528925619834711
LA RONGE (BARBER FIELD),65,1.0,1.5384615384615385
Timmins (Victor M. Power),69,1.0,1.4492753623188406
Buttonville Municipal,74,1.0,1.3513513513513513
James Armstrong Richardson Intl,766,10.0,1.3054830287206265
Edmonton Intl,554,7.0,1.263537906137184
HAMILTON,209,2.0,0.9569377990430622
MONTRÉAL INTL (MIRABEL),166,1.0,0.6024096385542169
YELLOWKNIFE,339,1.0,0.2949852507374631
SOREL,12,0.0,0.0
ST-JEAN,25,0.0,0.0
SALMON ARM,18,0.0,0.0
ST-GEORGES,18,0.0,0.0
SANDSPIT,17,0.0,0.0
SAINT JOHN,59,0.0,0.0
SQUAMISH,21,0.0,0.0
ST-MATHIEU-DE-BELOEIL,30,0.0,0.0
Roland Désourdy,15,0.0,0.0
BURLINGTON EXECUTIVE,18,0.0,0.0
SMITHERS,29,0.0,0.0
SARNIA (CHRIS HADFIELD),15,0.0,0.0
Billy Bishop Regional,11,0.0,0.0
RUSSELL,10,0.0,0.0
SHERBROOKE,27,0.0,0.0
SHANNON INTERNATIONAL,11,0.0,0.0
Regional,60,0.0,0.0
SECHELT,11,0.0,0.0
SCHEFFERVILLE,11,0.0,0.0
Bonnyville,11,0.0,0.0
Flin Flon,11,0.0,0.0
ST. ANTHONY,10,0.0,0.0
WILLIAMS LAKE,44,0.0,0.0
TROIS-RIVIÈRES,43,0.0,0.0
Tampa Intl,10,0.0,0.0
VICTORIAVILLE,12,0.0,0.0
VILLENEUVE,29,0.0,0.0
(Walter's Field),12,0.0,0.0
WATSON LAKE,14,0.0,0.0
WHITECOURT,16,0.0,0.0
WINDSOR,46,0.0,0.0
TOFINO/LONG BEACH,18,0.0,0.0
(Russ Beach),20,0.0,0.0
WINTERS AIRE PARK,18,0.0,0.0
(Lindsay),19,0.0,0.0
Wawa,15,0.0,0.0
(Greenstone Regional),10,0.0,0.0
Wittmundhafen,16,0.0,0.0
YORKTON MUNI,18,0.0,0.0
108 MILE AIRPORT,10,0.0,0.0
THE PAS/GRACE LAKE,10,0.0,0.0
ST. CATHARINES/NIAGARA DISTRICT,19,0.0,0.0
SWIFT CURRENT,19,0.0,0.0
BOUNDARY BAY,47,0.0,0.0
ST. THOMAS MUNI,12,0.0,0.0
STEINBACH,12,0.0,0.0
STEINBACH (SOUTH),13,0.0,0.0
STEPHENVILLE,19,0.0,0.0
BALDWIN,10,0.0,0.0
SUNDRE,12,0.0,0.0
BAGOTVILLE,39,0.0,0.0
ALEXANDRIA,10,0.0,0.0
ALMA,10,0.0,0.0
ROCKTON,15,0.0,0.0
South Renfrew Muni,12,0.0,0.0
Springbank,86,0.0,0.0
St-Frédéric,16,0.0,0.0
St-Hyacinthe,22,0.0,0.0
Stanhope Muni,13,0.0,0.0
ROCKY MOUNTAIN HOUSE,19,0.0,0.0
PORT HARDY,50,0.0,0.0
ROCKCLIFFE,24,0.0,0.0
LA GRANDE RIVIÈRE,65,0.0,0.0
EDSON,10,0.0,0.0
EDMONTON CITY CENTRE (BLATCHFORD FIELD),20,0.0,0.0
Duncan,18,0.0,0.0
KENORA,28,0.0,0.0
KING GEORGE AIR PARK,11,0.0,0.0
KINGSTON,28,0.0,0.0
KUGAARUK,10,0.0,0.0
KUUJJUARAPIK,20,0.0,0.0
LA TUQUE,15,0.0,0.0
ROBERVAL,14,0.0,0.0
LAC LA BICHE,14,0.0,0.0
LAC-À-LA-TORTUE,11,0.0,0.0
LACHUTE,30,0.0,0.0
LACOMBE,16,0.0,0.0
LES CÈDRES,16,0.0,0.0
LITTLE GRAND RAPIDS,11,0.0,0.0
LLOYDMINSTER,24,0.0,0.0
Labrie Field,12,0.0,0.0
JOLIETTE,15,0.0,0.0
J.A. Douglas McCurdy,36,0.0,0.0
EKATI,15,0.0,0.0
Edenvale,11,0.0,0.0
Fairmont Hot Springs,10,0.0,0.0
GOLDEN,11,0.0,0.0
GUELPH,16,0.0,0.0
Gaspé (Michel-Pouliot),19,0.0,0.0
FORT CHIPEWYAN,10,0.0,0.0
Gregorio Luperón Intl,10,0.0,0.0
Group Captain R.W. McNair,22,0.0,0.0
HAVRE ST-PIERRE,14,0.0,0.0
Erik Nielsen Intl,88,0.0,0.0
HIGH RIVER,18,0.0,0.0
HOPE,12,0.0,0.0
Hartsfield - Jackson Atlanta Intl,10,0.0,0.0
Hay River/Merlyn Carter,21,0.0,0.0
IGLOOLIK,10,0.0,0.0
INNISFAIL,10,0.0,0.0
INUVIK (MIKE ZUBKO),23,0.0,0.0
INVERMERE,10,0.0,0.0
Cuxhaven,10,0.0,0.0
Courtenay Airpark,12,0.0,0.0
Collingwood,12,0.0,0.0
CHILLIWACK,25,0.0,0.0
Ottawa/Carp,21,0.0,0.0
PARRY SOUND AREA MUNI,11,0.0,0.0
PEACE RIVER,23,0.0,0.0
PEMBERTON,15,0.0,0.0
PICKLE LAKE,64,0.0,0.0
PORT MCNEILL,11,0.0,0.0
POWELL RIVER,18,0.0,0.0
PRINCE RUPERT,15,0.0,0.0
CHIBOUGAMAU/CHAPAIS,27,0.0,0.0
PUVIRNITUQ,13,0.0,0.0
CAMROSE,11,0.0,0.0
CAMPBELL RIVER,33,0.0,0.0
Brandon Muni,16,0.0,0.0
QUALICUM BEACH,16,0.0,0.0
QUESNEL,15,0.0,0.0
RED DEER REGIONAL,54,0.0,0.0
RIVIÈRE-DU-LOUP,14,0.0,0.0
Oshawa Executive,42,0.0,0.0
Orillia,15,0.0,0.0
Cincinnati/Northern Kentucky International,10,0.0,0.0
OLDS-DIDSBURY,20,0.0,0.0
MANIWAKI,13,0.0,0.0
MARKHAM,11,0.0,0.0
MASCOUCHE,45,0.0,0.0
MIDLAND/HURONIA,16,0.0,0.0
MONT-JOLI,32,0.0,0.0
MONT-LAURIER,13,0.0,0.0
MOOSONEE,19,0.0,0.0
MUSKOKA,21,0.0,0.0
Minneapolis-St. Paul Intl/Wold-Chamberlain,12,0.0,0.0
CU NIM,10,0.0,0.0
NEUVILLE,10,0.0,0.0
NORTH BATTLEFORD,12,0.0,0.0
NORWAY HOUSE,10,0.0,0.0
COCHRANE,10,0.0,0.0
Niagara Central Dorothy Rungeling,10,0.0,0.0
Norman Wells,30,0.0,0.0
OKOTOKS AIR PARK,10,0.0,0.0
(CAMPBELL ISLAND),24,0.0,0.0
